t,symbol,dir,res,score,strategy_id
2026-01-12T01:04:36.230170,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:04:36.344523,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:09:06.250635,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:09:06.351538,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:17:16.791591,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:17:16.891890,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:20:11.901900,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:20:12.019689,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:22:39.920511,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:22:40.016265,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:26:17.275579,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T01:26:17.374532,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:05:58.030763,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:05:58.278885,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:16:41.252878,EURUSD=X,BUY,PENDING,9.0,smc_v12
2026-01-12T14:16:41.284989,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T14:17:33.879915,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T14:17:33.906660,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T14:17:54.363610,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:17:54.458350,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:19:09.480249,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T14:19:09.502925,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T14:20:58.008107,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:20:58.100166,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:22:16.108981,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T14:22:16.139061,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T14:24:03.909853,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:24:03.993189,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T14:25:26.126499,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T14:25:26.151184,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T16:15:20.598176,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:15:20.704049,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:16:37.163243,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T16:16:37.187910,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T16:22:51.942135,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:22:52.031646,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:23:56.505903,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T16:23:56.531415,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T16:24:35.616387,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:24:35.713894,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T16:25:46.740006,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T16:25:46.766443,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T19:36:59.312686,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:36:59.410420,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:42:10.818693,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:42:10.905739,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:43:21.750396,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T19:43:21.775858,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T19:46:43.338237,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:46:43.470496,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:47:56.928418,EURUSD=X,BUY,PENDING,6.3,smc_institutional
2026-01-12T19:47:56.955765,EURUSD=X,BUY,PENDING,5.9,breakout_master
2026-01-12T19:57:32.472219,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T19:57:32.561623,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:00:03.770537,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:00:03.860044,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:03:08.060993,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:03:08.154873,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:08:02.289882,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T20:08:02.311158,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T20:08:17.620054,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:08:17.705345,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:09:27.331971,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T20:09:27.358148,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T20:27:21.004500,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:27:21.119284,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:28:33.955858,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T20:28:33.981409,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T20:58:24.881615,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:58:24.972043,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T20:59:37.138979,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T20:59:37.174264,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T21:00:02.403661,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T21:00:02.527065,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T21:01:11.849607,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T21:01:11.876162,EURUSD=X,BUY,PENDING,8.5,breakout_master
2026-01-12T21:20:24.390257,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T21:20:24.485883,EURUSD,BUY,PENDING,9.0,unknown
2026-01-12T21:21:34.707457,EURUSD=X,BUY,PENDING,9.0,smc_institutional
2026-01-12T21:21:34.733586,EURUSD=X,BUY,PENDING,8.5,breakout_master
